rhoc,M,R,Lambda,I,Mb
7.862122613065332500e+14,1.735248852000490061e+00,2.000000000000101963e+01,1.781810789286540739e+02,2.335621798112323066e+00,1.947976037895678525e+00
7.952802010050256250e+14,1.744791398679635730e+00,2.000000000000101963e+01,1.700053368791230923e+02,2.347059792657268051e+00,1.960221646219129532e+00
8.043481407035181250e+14,1.754072338938891029e+00,2.000000000000101963e+01,1.623466208925831040e+02,2.357896856231238125e+00,1.972152155597020284e+00
8.134160804020106250e+14,1.763105422814505108e+00,2.000000000000101963e+01,1.551459981899099319e+02,2.368178060733244994e+00,1.983785719089945720e+00
8.224840201005031250e+14,1.771895245226780879e+00,2.000000000000101963e+01,1.483686109873837040e+02,2.377901125735911503e+00,1.995124882093379348e+00
8.315519597989955000e+14,1.780458587201148024e+00,2.000000000000101963e+01,1.419821560232075512e+02,2.387093218097481540e+00,2.006198152091844378e+00
8.406198994974880000e+14,1.788791531773110455e+00,2.000000000000101963e+01,1.359846228988907910e+02,2.395782231018618091e+00,2.016989506812231436e+00
8.496878391959805000e+14,1.796905860274472300e+00,2.000000000000101963e+01,1.303242001850978227e+02,2.403948180746810603e+00,2.027517203587307915e+00
8.587557788944730000e+14,1.804809824761529180e+00,2.000000000000101963e+01,1.249748075639152205e+02,2.411648000359473354e+00,2.037789950058032318e+00
8.678237185929653750e+14,1.812505688128402292e+00,2.000000000000101963e+01,1.199045072470106703e+02,2.418870003383628564e+00,2.047809852774823636e+00
8.768916582914578750e+14,1.819998522985948108e+00,2.000000000000101963e+01,1.151496261758602202e+02,2.425644618842396127e+00,2.057582316171527204e+00
8.859595979899503750e+14,1.827295762931458789e+00,2.000000000000101963e+01,1.106270677835619409e+02,2.431967322631321871e+00,2.067115767171900931e+00
8.950275376884428750e+14,1.834400776244995424e+00,2.000000000000101963e+01,1.063220531407315121e+02,2.437859933470847285e+00,2.076411263702834464e+00
9.040954773869352500e+14,1.841324878305516943e+00,2.000000000000101963e+01,1.022721043720343346e+02,2.443339908550679507e+00,2.085489372002976349e+00
9.131634170854277500e+14,1.848063002870559801e+00,2.000000000000101963e+01,9.840061330998838685e+01,2.448413006263726377e+00,2.094336313981043141e+00
9.222313567839202500e+14,1.854627005907691695e+00,2.000000000000101963e+01,9.473624545767809479e+01,2.453104328535506973e+00,2.102967588787209685e+00
9.312992964824127500e+14,1.861015860894266627e+00,2.000000000000101963e+01,9.125695397745161586e+01,2.457395369720063893e+00,2.111381183251216598e+00
9.403672361809051250e+14,1.867241023584964354e+00,2.000000000000101963e+01,8.796636073435008996e+01,2.461337365677352285e+00,2.119595181004593432e+00
9.494351758793976250e+14,1.873295713910098526e+00,2.000000000000101963e+01,8.480748369831030686e+01,2.464920804968711021e+00,2.127593382094789209e+00
9.585031155778901250e+14,1.879195109184580437e+00,2.000000000000101963e+01,8.182485763784174537e+01,2.468171130516642719e+00,2.135398068843366914e+00
