rhoc,M,R,Lambda,I,Mb
6.725527638190955000e+14,9.790996460412946245e-01,1.198004010000012265e+01,3.462810377216645065e+03,8.506914157817904165e-01,1.043148316881905346e+00
6.843567839195980000e+14,1.006464495595442488e+00,1.197004015000012167e+01,2.966494492545820776e+03,8.831370585656663774e-01,1.074671546522782739e+00
6.961608040201005000e+14,1.032729161939619722e+00,1.196004020000012069e+01,2.563331558688390942e+03,9.145553679843063666e-01,1.105063596852605690e+00
7.079648241206030000e+14,1.057909402825332856e+00,1.195004025000011971e+01,2.232800767661748523e+03,9.449128373892426991e-01,1.134328138753478488e+00
7.197688442211055000e+14,1.082033061627392989e+00,1.194004030000011873e+01,1.959312406915496922e+03,9.741906120188480456e-01,1.162484901252805125e+00
7.315728643216080000e+14,1.105154201079736387e+00,1.193004035000011775e+01,1.731333219899822552e+03,1.002431439587128992e+00,1.189582357809716662e+00
7.433768844221105000e+14,1.127274963184789147e+00,1.192004040000011678e+01,1.539571275793910218e+03,1.029560578327012754e+00,1.215613831166151959e+00
7.551809045226130000e+14,1.151914671638250010e+00,1.191004045000011580e+01,1.352657590752655324e+03,1.059916421230500339e+00,1.244732310728439373e+00
7.669849246231155000e+14,1.177016605339634703e+00,1.190004050000011482e+01,1.186863983223760897e+03,1.090991692832671278e+00,1.274531588239648849e+00
7.787889447236180000e+14,1.201075367222439239e+00,1.189004055000011384e+01,1.048381029294079553e+03,1.120938460679046678e+00,1.303219491370548599e+00
7.905929648241205000e+14,1.224110577253627374e+00,1.188004060000011286e+01,9.317620886365530168e+02,1.149732342331820423e+00,1.330806390610051348e+00
8.023969849246231250e+14,1.246171056551916845e+00,1.187004065000011188e+01,8.330425795326033267e+02,1.177417679278609075e+00,1.357336974309275357e+00
8.142010050251256250e+14,1.267284965300794708e+00,1.186004070000011090e+01,7.487491570066437134e+02,1.203986406381541086e+00,1.382833993800168360e+00
8.260050251256281250e+14,1.287503602305892558e+00,1.185004075000010815e+01,6.764039117987201735e+02,1.229487947022294136e+00,1.407347916126008514e+00
