rhoc,R,M,Lambda,I,Mb
1.340180904522614000e+15,1.107004465000002114e+01,1.890336319994560865e+00,2.414254517330498118e+01,1.940849949131973506e+00,2.193733787119636514e+00
1.349482412060302500e+15,1.105004475000001918e+01,1.896005340630060099e+00,2.328903945039984791e+01,1.945681669660957791e+00,2.201797640456942595e+00
1.358783919597991000e+15,1.104004480000001820e+01,1.901524846959691928e+00,2.247671147603967512e+01,1.950242034317303030e+00,2.209669194578421259e+00
1.368085427135679500e+15,1.102004490000001624e+01,1.906970438788513578e+00,2.169721324938574369e+01,1.954660811469262738e+00,2.217449031156025985e+00
1.377386934673368000e+15,1.101004495000001526e+01,1.912211215347283444e+00,2.096227648432893176e+01,1.958799925825421839e+00,2.224953407377309844e+00
1.386688442211056500e+15,1.099004505000001330e+01,1.917326085568275440e+00,2.025931205304997818e+01,1.962712617552175187e+00,2.232294980849927502e+00
1.395989949748744750e+15,1.097004515000001135e+01,1.922352310404183307e+00,1.958429516317452368e+01,1.966452893416176240e+00,2.239519352002104835e+00
1.405291457286433250e+15,1.096004520000001037e+01,1.927194050475824927e+00,1.894457364177197789e+01,1.969940045250985206e+00,2.246501427022814301e+00
1.414592964824121750e+15,1.094004530000000663e+01,1.931906085008443963e+00,1.833397228092907483e+01,1.973203888971008624e+00,2.253309246153710532e+00
1.423894472361810250e+15,1.093004535000000566e+01,1.936542515456357583e+00,1.774428933581149082e+01,1.976309172367403111e+00,2.260019374277761450e+00
1.433195979899498750e+15,1.091004545000000370e+01,1.940982961316556343e+00,1.718892102592625903e+01,1.979136912968270767e+00,2.266463953031747192e+00
1.442497487437187000e+15,1.089004555000000174e+01,1.945340530994883688e+00,1.665581236633697415e+01,1.981832747352158641e+00,2.272796614312555974e+00
1.451798994974875500e+15,1.088004560000000076e+01,1.949600662870984102e+00,1.614204080219471749e+01,1.984340677383733542e+00,2.279000555538298389e+00
1.461100502512564000e+15,1.086004569999999880e+01,1.953684605466729396e+00,1.565586077974939982e+01,1.986607380556365543e+00,2.284956485981690211e+00
1.470402010050252500e+15,1.085004574999999782e+01,1.957678298859776511e+00,1.518679986943533500e+01,1.988698532965081922e+00,2.290804799809473824e+00
1.479703517587941000e+15,1.083004584999999409e+01,1.961590928801718370e+00,1.473693849089530872e+01,1.990659855317792992e+00,2.296535433645510604e+00
1.489005025125629250e+15,1.081004594999999213e+01,1.965340636719753675e+00,1.430820546463871068e+01,1.992394694974094049e+00,2.302040506893783700e+00
1.498306532663317750e+15,1.080004599999999115e+01,1.968997007056970672e+00,1.389734015414769885e+01,1.993969095992639939e+00,2.307419481318409460e+00
1.507608040201006250e+15,1.078004609999998920e+01,1.972551078660179202e+00,1.349876907031603324e+01,1.995331869317796825e+00,2.312662121958026340e+00
1.516909547738694750e+15,1.077004614999998822e+01,1.975985495401088476e+00,1.312290022364195252e+01,1.996583580895664234e+00,2.317731010542436909e+00
1.526211055276383250e+15,1.075004624999998626e+01,1.979321296675697894e+00,1.275802696659618540e+01,1.997630706565467262e+00,2.322668467379030766e+00
1.535512562814071500e+15,1.074004629999998528e+01,1.982584030997491364e+00,1.240783812459449820e+01,1.998575506957439796e+00,2.327501220300354667e+00
1.544814070351760000e+15,1.072004639999998332e+01,1.985692103331236025e+00,1.207537730786165042e+01,1.999296264117555344e+00,2.332116277542669369e+00
1.554115577889448500e+15,1.070004649999997959e+01,1.988737722919096784e+00,1.175207350205632295e+01,1.999898136507621160e+00,2.336650899679090454e+00
1.563417085427137000e+15,1.069004654999997861e+01,1.991689150635743921e+00,1.144029696181058142e+01,2.000338165809074198e+00,2.341050973377297062e+00
1.572718592964825500e+15,1.067004664999997665e+01,1.994528703985003926e+00,1.114488152299738033e+01,2.000667249361625544e+00,2.345286527364504714e+00
1.582020100502513750e+15,1.066004669999997567e+01,1.997271147365834443e+00,1.085757445510169283e+01,2.000791289024900443e+00,2.349392850821996337e+00
1.591321608040202250e+15,1.064004679999997371e+01,1.999945076141067091e+00,1.058110206863724478e+01,2.000814261007993533e+00,2.353397598576392191e+00
